Default,Loan Amount,term,Interest Rate,Installment,Grade,Sub-Grade,Employment Title,Employment Length,Home Ownership,Annual Income,Verified Income,Issue Date,Loan Status,Payment Plan,purpose,title,Zip Code,State,Monthly Debt to Income Ratio,Delinquencies Over 2 Years,Earliest Credit Line,Inquiries Last 6 Months,Months Since Last Delinquincy,Months Since Last Public Record,Open Credit Lines,Derogatory Public Records,Credit Revolving Balance,Credit Utilization Rate,Total Credit Lines,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
N,5000, 36 months,0.18,181.39,D,D3,Collections Supervisor ,10+ years,MORTGAGE,90000,Source Verified,16-Apr,Fully Paid,n,small_business,Business,972xx,OR,17,0,Oct-97,0,,,12,0,20156,0.79,47,16-May,5070.98,,16-May,0,,INDIVIDUAL,,,,0,0,310387,1,4,4,6,4,43326,86,2,4,11219,84,25500,1,10,2,11,25866,2236,87.2,0,0,119,222,7,4,4,8,,11,,0,2,3,2,11,12,7,31,3,12,0,0,0,6,100,50,0,0,328347,63482,17500,50222
N,19225, 36 months,0.16,678.65,D,D1,president,6 years,RENT,52000,Not Verified,16-Mar,Fully Paid,n,small_business,Business,605xx,IL,1.59,0,3-Jan,0,34,54,6,1,116,0.02,9,16-May,19145.83,,16-Jun,0,60,INDIVIDUAL,,,,0,0,204,0,1,0,1,23,88,9,1,3,116,2,7800,0,0,2,4,34,6184,1.8,0,0,23,158,11,11,0,14,60,7,34,0,1,1,2,4,1,5,8,1,6,0,0,0,1,87.5,0,0,1,8800,204,6300,1000
Y,20725, 36 months,0.18,751.87,D,D3,SENIOR TAX AUDITOR,4 years,RENT,61000,Verified,16-Feb,Charged Off,n,small_business,Business,945xx,CA,11.08,0,3-Dec,1,76,,18,0,16911,0.28,28,16-May,751.87,,16-Dec,0,,INDIVIDUAL,,,,0,0,74541,0,3,0,0,61,57630,105,3,8,15373,47,61400,1,0,1,8,4659,38789,30.4,0,0,115,146,9,9,0,10,,1,,0,3,3,8,12,4,15,23,3,18,0,0,0,3,96.4,12.5,0,0,114644,74541,55700,53244
Y,6000, 36 months,0.14,206.41,C,C4,Owner,10+ years,RENT,68000,Verified,16-Feb,Charged Off,n,small_business,Business,921xx,CA,22.24,0,Mar-94,0,,,28,0,24982,0.82,55,16-May,206.41,,16-Dec,0,,INDIVIDUAL,,,,0,0,530834,1,21,3,4,4,505852,117,0,2,4925,109,30500,0,3,3,6,18958,157,98,0,0,149,262,18,4,0,18,,4,,0,3,6,3,5,43,7,12,6,28,0,0,0,3,100,100,0,0,432743,530834,7700,402243
N,15875, 36 months,0.13,533.98,C,C2,Owners,5 years,MORTGAGE,107000,Verified,16-Jan,Fully Paid,n,small_business,Business,660xx,KS,25.39,0,2-Sep,3,,67,14,1,11835,0.54,26,16-May,15406.89,,16-May,0,64,INDIVIDUAL,,,,0,0,332215,2,4,3,4,1,100827,91,3,6,3412,54,21850,0,0,3,11,23729,3188,72,0,0,43,120,9,1,4,20,,4,,0,4,9,6,7,10,9,12,7,14,,0,0,6,88,75,1,0,356438,112662,12750,110565
N,3500, 36 months,0.13,118.76,C,C2,Licensed practical nurse,4 years,MORTGAGE,75000,Verified,16-Jun,Fully Paid,n,small_business,Business,060xx,CT,1.12,3,5-Apr,0,10,34,5,1,147,0.15,13,16-Jun,3519.68,,16-Dec,0,10,INDIVIDUAL,,,,0,348,194089,0,1,0,0,113,843,9,0,0,0,9,1000,0,1,0,0,38818,300,0,0,0,134,126,41,41,3,73,,,36,3,0,1,1,4,4,2,6,1,5,0,0,3,0,61.5,0,0,0,241697,990,300,9697
N,40000, 36 months,0.05,1204.6,A,A1,Vice President Digital Security Services,< 1 year,RENT,455000,Source Verified,16-May,Fully Paid,n,small_business,Business,670xx,KS,5.5,0,Jun-98,2,36,,6,0,2535,0.14,26,16-Jun,40177.34,,16-Jun,0,36,INDIVIDUAL,,,,0,0,87280,1,4,1,1,2,84745,46,0,1,2535,32,18000,1,1,3,2,14547,13965,15.4,0,0,176,214,15,2,7,175,,2,,1,1,1,1,5,10,2,8,1,6,0,0,0,1,92.3,0,0,0,170060,87280,16500,152060
N,7000, 36 months,0.17,250.52,D,D2,Delivery Driver,5 years,MORTGAGE,65000,Source Verified,16-Apr,Fully Paid,n,small_business,,381xx,TN,16.18,0,6-Dec,1,79,77,11,1,6349,0.21,19,16-Jun,6997.01,,16-Dec,0,79,INDIVIDUAL,,,,0,0,174606,3,3,2,4,3,43183,90,3,5,1770,64,30200,1,0,3,10,15873,20758,19.2,0,0,109,112,1,1,1,1,79,3,79,1,5,7,5,6,10,7,8,7,11,0,0,0,5,94.4,0,1,0,206571,49532,25700,47744
Y,3000, 36 months,0.15,104.46,C,C5,President,< 1 year,RENT,85000,Source Verified,16-Apr,Charged Off,n,small_business,Business,342xx,FL,12,0,11-Apr,3,,76,7,1,14309,0.38,11,16-Jun,104.46,,16-Dec,0,,INDIVIDUAL,,,,0,0,42650,4,1,0,1,16,28341,82,4,6,5505,38,37300,0,0,1,7,6092,4325,59,0,0,60,53,3,3,0,3,,3,,0,4,6,6,6,3,6,8,5,7,,0,0,4,100,25,0,0,71935,42650,17300,34635
Y,32000, 36 months,0.20,1181.59,D,D5,Owner,5 years,MORTGAGE,500000,Verified,16-Apr,Charged Off,n,small_business,Business,633xx,MO,11.4,0,7-Jun,0,37,112,15,1,18799,0.74,33,16-Jun,1181.59,,16-Dec,0,,INDIVIDUAL,,,,0,0,369047,1,6,2,6,5,129167,66,3,4,5221,68,25300,1,4,6,12,24603,4401,81,0,0,57,105,9,5,3,9,39,10,39,0,7,7,7,8,19,8,11,7,15,0,0,0,5,90.9,57.1,1,0,429785,147966,23200,178750
Y,12000, 36 months,0.18,435.34,D,D3,Insurance Validator,2 years,RENT,46000,Verified,16-Apr,Charged Off,n,small_business,Business,750xx,TX,3,0,12-Sep,0,,,3,0,3323,0.59,3,16-Jun,435.34,,16-Dec,0,,INDIVIDUAL,,,,0,57,3323,1,0,0,0,,0,,1,2,2753,59,5600,0,0,0,2,1108,2208,58.3,0,0,,43,5,5,0,19,,19,,0,2,3,2,2,0,3,3,3,3,0,0,0,1,100,0,0,0,5600,3323,5300,0
Y,24000, 36 months,0.17,858.9,D,D2,Driver,4 years,OWN,71000,Verified,16-Mar,Charged Off,n,small_business,Business,551xx,MN,13.02,0,1-Jan,2,69,,6,0,5243,0.44,10,16-Jun,858.9,,16-Dec,0,,INDIVIDUAL,,,,0,0,18107,1,2,1,2,9,12864,61,1,2,5179,55,12000,2,0,5,4,3018,5521,48.4,0,0,155,182,6,6,0,6,,4,,0,1,2,2,3,4,4,6,2,6,0,0,0,2,80,50,0,0,33132,18107,10700,21132
N,25700, 36 months,0.20,948.97,D,D5,Sales Consultant,6 years,RENT,85000,Source Verified,16-Mar,Fully Paid,n,small_business,Business,606xx,IL,2.21,0,5-Sep,0,,,7,0,5225,0.15,31,16-Jun,25592.29,,16-Dec,0,,INDIVIDUAL,,,,0,2250,5225,0,0,0,1,24,0,,3,3,5225,15,34100,2,5,2,4,871,27275,16.1,0,0,126,110,10,10,0,11,,10,,0,1,1,5,8,19,7,12,1,7,0,0,0,3,100,0,0,0,34100,5225,32500,0
Y,20000, 36 months,0.08,630.34,B,B1,Owner,2 years,RENT,75000,Not Verified,16-Mar,Charged Off,n,small_business,Business,787xx,TX,34.3,0,Sep-98,0,,,3,0,25282,0.92,10,16-Jun,630.34,,16-Dec,0,,INDIVIDUAL,,,,0,0,40173,0,1,0,0,28,14891,56,0,0,15020,75,27500,0,1,0,0,13391,2218,91.9,0,0,162,210,26,26,0,26,,,,0,2,2,2,5,5,2,5,2,3,0,0,0,0,100,100,0,0,53951,40173,27500,26451
N,30000, 36 months,0.10,964.5,B,B3,Professor,10+ years,MORTGAGE,160000,Source Verified,16-Mar,Fully Paid,n,small_business,Business,074xx,NJ,26.73,0,Oct-96,1,47,,29,0,270967,0.35,59,16-Jun,28973,,16-Dec,0,,INDIVIDUAL,,,,0,0,440199,5,8,1,4,7,77638,82,5,8,14412,56,366400,0,0,4,12,15179,70645,36.6,0,0,135,233,3,3,3,3,,3,,0,10,11,18,30,17,20,37,11,29,0,0,0,6,98.3,16.7,0,0,612475,348605,111400,94811
N,5000, 36 months,0.15,174.09,C,C5,Guest Relations Manager,10+ years,RENT,50000,Source Verified,16-Mar,Fully Paid,n,small_business,Business,838xx,ID,37.83,0,Mar-97,1,,,13,0,17004,0.48,33,16-Jun,93.57,,16-Jun,0,,JOINT,105000,21.76,Not Verified,0,0,94921,2,3,0,2,18,77917,79,4,5,9071,66,35100,0,5,2,7,7302,7003,57.8,0,0,118,228,1,1,4,10,,4,,0,2,8,3,9,8,10,21,8,13,0,0,0,4,100,33.3,0,0,131907,94921,16600,96807
Y,28000, 36 months,0.10,900.2,B,B3,owner,10+ years,MORTGAGE,85000,Source Verified,16-Feb,Charged Off,n,small_business,Business,339xx,FL,14.6,0,1-Dec,1,,,14,0,1179,0.03,22,16-Jun,900.2,,16-Aug,0,,INDIVIDUAL,,,,0,0,332207,1,2,1,2,12,31968,77,2,3,914,39,43200,2,0,3,5,25554,41021,2.8,0,0,170,142,5,5,2,5,,0,,0,2,2,8,12,5,10,15,2,14,0,0,0,3,95.5,0,0,0,404346,33147,42200,41646
N,29925, 36 months,0.14,1029.47,C,C4,Loan Originator,3 years,OWN,159000,Source Verified,16-Feb,Fully Paid,n,small_business,Business,750xx,TX,11.46,1,1-Feb,2,9,,20,0,104162,0.39,39,16-Jun,28437.82,,16-Jul,1,,INDIVIDUAL,,,,0,359,318564,3,2,0,0,39,14637,36,4,6,6697,38,135500,1,0,5,7,15928,23313,44.9,0,0,164,180,2,2,2,2,9,1,9,0,4,7,10,15,10,17,26,7,20,0,0,0,5,97.4,20,0,0,376079,118799,42300,40579
Y,28000, 36 months,0.10,900.2,B,B3,President,8 years,MORTGAGE,75000,Source Verified,16-Feb,Charged Off,n,small_business,Business,770xx,TX,27.41,0,Nov-95,0,28,,8,0,57676,0.67,13,16-Jun,900.2,,16-Dec,0,,INDIVIDUAL,,,,0,0,63823,0,1,0,0,49,6147,23,0,0,23125,67,85900,0,0,0,0,7977,12271,67,0,0,49,243,44,44,1,44,28,,28,0,7,7,10,11,1,7,11,6,8,,0,0,0,92,71.4,0,0,112353,63823,85900,26453
Y,16000, 36 months,0.18,580.45,D,D3,Project Manager,8 years,RENT,150000,Source Verified,16-Feb,Charged Off,n,small_business,Business,705xx,LA,30.46,0,1-Feb,0,,,24,0,69035,0.60,42,16-Jun,580.45,,16-Dec,0,,INDIVIDUAL,,,,0,0,156585,2,7,1,1,8,87550,71,3,8,11687,64,115300,0,0,2,9,6808,33549,64.9,0,0,180,144,5,5,0,5,,11,,0,12,15,13,18,16,17,26,15,24,0,0,0,4,100,46.2,0,0,239071,156585,95500,123771
N,12000, 36 months,0.08,375.43,A,A5,Project Manager,9 years,MORTGAGE,120000,Not Verified,16-Feb,Fully Paid,n,small_business,Business,085xx,NJ,9.07,0,4-Aug,0,,,5,0,6783,0.26,28,16-Jun,9922.69,,16-Sep,0,,INDIVIDUAL,,,,0,0,441992,0,2,0,1,24,54128,22,0,0,6783,24,26500,0,0,0,1,88398,19717,25.6,0,0,119,137,35,24,2,35,,14,,0,1,1,2,7,18,2,8,1,5,0,0,0,0,100,0,0,0,497287,60911,26500,67037
Y,23500, 36 months,0.12,780.43,C,C1,Owner,10+ years,RENT,100000,Source Verified,16-Feb,Charged Off,n,small_business,Business,064xx,CT,12.88,0,Apr-89,3,,,5,0,28102,0.25,11,16-Jun,780.83,,16-Dec,0,,INDIVIDUAL,,,,0,1525,49170,1,1,1,1,8,21068,89,1,1,26285,74,41300,1,0,4,2,9834,9545,47.7,0,0,8,321,6,6,0,63,,1,,0,2,2,2,6,1,4,10,3,5,0,0,0,2,100,50,0,0,64880,49170,37500,23580
N,40000, 36 months,0.17,1425.92,D,D1,Supervisor,4 years,MORTGAGE,180000,Source Verified,16-Jun,Fully Paid,n,small_business,,760xx,TX,10.4,0,1-Sep,0,,,12,0,9115,0.23,19,16-Jul,40613.66,,16-Jul,0,,INDIVIDUAL,,,,0,506,184684,0,2,0,1,20,43781,41,3,6,3780,31,40000,0,0,3,8,16789,12332,25.3,0,0,33,177,7,7,1,7,,11,,0,2,4,3,5,2,9,16,4,12,0,0,0,4,94.7,0,0,0,246884,52896,16500,73608
N,24000, 36 months,0.07,745.34,A,A4,Controller,2 years,MORTGAGE,109200,Not Verified,16-Jun,Fully Paid,n,small_business,Business,210xx,MD,15.61,0,4-May,1,69,,18,0,10928,0.15,42,16-Jul,24064.6,,16-Jul,0,70,INDIVIDUAL,,,,0,0,362263,0,2,4,6,9,45517,64,5,5,4155,22,70900,2,8,6,11,21310,50972,17.7,0,0,120,144,9,9,2,9,,0,,1,5,5,11,12,18,15,22,5,18,0,0,0,9,90.5,9.1,0,0,477105,56445,61900,54205
Y,5000, 36 months,0.09,159.38,B,B2,security guard,2 years,RENT,30000,Source Verified,16-Jun,Charged Off,n,small_business,Business,338xx,FL,18.4,0,Aug-92,0,,,2,0,4567,0.46,16,16-Jul,168.28,,16-Dec,0,,INDIVIDUAL,,,,0,0,22899,0,1,0,0,62,18332,66,0,0,0,60,10000,0,2,0,0,11450,,,0,0,247,285,50,50,3,,,,,0,0,1,0,2,6,1,7,1,2,0,0,0,0,100,,0,0,37986,22899,0,27986
N,6000, 36 months,0.11,195.73,B,B4,Massage Therapist/Personal Trainer,10+ years,RENT,80000,Not Verified,16-Apr,Fully Paid,n,small_business,Business,921xx,CA,0.53,0,Nov-99,1,57,75,4,1,984,0.14,7,16-Jul,5910.5,,16-Jun,0,,INDIVIDUAL,,,,0,0,984,0,0,0,0,93,0,,2,3,0,14,7000,0,1,2,3,246,4500,0,0,0,150,197,7,7,0,9,,1,,0,0,1,2,2,2,4,5,1,4,0,0,0,2,71.4,0,0,1,7000,984,4500,0
N,5000, 36 months,0.07,155.28,A,A4,field deputy,10+ years,RENT,43700,Source Verified,16-Apr,Fully Paid,n,small_business,Business,330xx,FL,26.48,0,2-May,0,,,10,0,8015,0.52,20,16-Jul,4795.65,,16-Aug,0,,INDIVIDUAL,,,,0,0,46345,1,2,1,2,2,38330,80,0,1,2302,74,15400,2,0,3,3,4635,1885,81,0,0,142,167,17,2,0,17,,8,,0,5,5,6,9,5,8,15,5,10,0,0,0,1,100,83.3,0,0,63068,46345,9900,47668
